movieId,original_title,clean_title,year,tmdb_id,tmdb_title,overview,genres_tmdb,runtime,vote_average,vote_count,popularity,release_date,budget,revenue,cast,directors,producers
11,"American President, The (1995)","American President, The",1995,9087,The American President,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.","['Comedy', 'Drama', 'Romance']",113,6.533,741,1.6947,1995-11-17,62000000,107879496,"['Michael Douglas', 'Annette Bening', 'Martin Sheen', 'Michael J. Fox', 'Anna Deavere Smith', 'Samantha Mathis', 'Shawna Waldron', 'David Paymer', 'Anne Haney', 'Richard Dreyfuss']",['Rob Reiner'],['Rob Reiner']
12,Dracula: Dead and Loving It (1995),Dracula: Dead and Loving It,1995,12110,Dracula: Dead and Loving It,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.","['Comedy', 'Horror']",88,6.088,1017,1.8191,1995-12-22,30000000,10772144,"['Leslie Nielsen', 'Mel Brooks', 'Amy Yasbeck', 'Peter MacNicol', 'Lysette Anthony', 'Harvey Korman', 'Steven Weber', 'Mark Blankfield', 'Megan Cavanagh', 'Gregg Binkley']",['Mel Brooks'],['Mel Brooks']
13,Balto (1995),Balto,1995,21032,Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.","['Family', 'Animation', 'Adventure']",78,7.3,2088,2.2599,1995-12-22,31000000,11348324,"['Kevin Bacon', 'Bob Hoskins', 'Bridget Fonda', 'Jim Cummings', 'Phil Collins', 'Juliette Brewer', 'Jack Angel', 'Danny Mann', 'Robbie Rist', 'Sandra Dickinson']",['Simon Wells'],"['Kathleen Kennedy', 'Steven Spielberg']"
14,Nixon (1995),Nixon,1995,10858,Nixon,A look at President Richard M. Nixon—a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.,"['Drama', 'History']",192,6.873,377,1.2831,1995-12-22,44000000,13681765,"['Anthony Hopkins', 'Joan Allen', 'Powers Boothe', 'Ed Harris', 'Bob Hoskins', 'E.G. Marshall', 'David Paymer', 'David Hyde Pierce', 'Paul Sorvino', 'Mary Steenburgen']",['Oliver Stone'],"['Oliver Stone', 'Clayton Townsend', 'Andrew G. Vajna']"
15,Cutthroat Island (1995),Cutthroat Island,1995,1408,Cutthroat Island,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.","['Action', 'Adventure']",124,5.8,579,2.0224,1995-12-22,102000000,16000000,"['Geena Davis', 'Matthew Modine', 'Frank Langella', 'Maury Chaykin', 'Patrick Malahide', 'Stan Shaw', 'Rex Linn', 'Paul Dillon', 'Christopher Masterson', 'Jimmie F. Skaggs']",['Renny Harlin'],"['James Gorman', 'Renny Harlin', 'Laurence Mark', 'Joel B. Michaels']"
16,Casino (1995),Casino,1995,524,Casino,"In early-1970s Las Vegas, Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.","['Crime', 'Drama']",179,7.997,6107,6.2121,1995-11-22,50000000,116112375,"['Robert De Niro', 'Sharon Stone', 'Joe Pesci', 'James Woods', 'Don Rickles', 'Alan King', 'Kevin Pollak', 'L.Q. Jones', 'Dick Smothers', 'Frank Vincent']",['Martin Scorsese'],['Barbara De Fina']
17,Sense and Sensibility (1995),Sense and Sensibility,1995,4584,Sense and Sensibility,"The Dashwood sisters, sensible Elinor and passionate Marianne, whose chances at marriage seem doomed by their family's sudden loss of fortune.  When Henry Dashwood dies unexpectedly, his estate must pass on by law to his son from his first marriage, John and wife Fanny. But these circumstances leave Mr. Dashwood's current wife, and daughters Elinor, Marianne and Margaret, without a home and with barely enough money to live on. As Elinor and Marianne struggle to find romantic fulfillment in a society obsessed with financial and social status, they must learn to mix sense with sensibility in their dealings with both money and men.","['Drama', 'Romance']",136,7.4,1738,4.0325,1995-12-13,16000000,134582776,"['Emma Thompson', 'Kate Winslet', 'Alan Rickman', 'Hugh Grant', 'Gemma Jones', 'Greg Wise', 'Elizabeth Spriggs', 'Imogen Stubbs', 'Harriet Walter', 'James Fleet']",['Ang Lee'],['Lindsay Doran']
18,Four Rooms (1995),Four Rooms,1995,5,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,['Comedy'],98,5.9,2709,2.1729,1995-12-09,4000000,4257354,"['Tim Roth', 'Jennifer Beals', 'Antonio Banderas', 'Valeria Golino', 'David Proval', 'Sammi Davis', 'Amanda de Cadenet', 'Madonna', 'Ione Skye', 'Lili Taylor']","['Robert Rodriguez', 'Alexandre Rockwell', 'Allison Anders', 'Quentin Tarantino']",['Lawrence Bender']
19,Ace Ventura: When Nature Calls (1995),Ace Ventura: When Nature Calls,1995,9273,Ace Ventura: When Nature Calls,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.","['Crime', 'Comedy', 'Adventure']",90,6.327,4294,4.4807,1995-11-10,30000000,212385533,"['Jim Carrey', 'Ian McNeice', 'Simon Callow', 'Maynard Eziashi', 'Bob Gunton', 'Sophie Okonedo', 'Tommy Davidson', 'Adewale Akinnuoye-Agbaje', 'Danny Daniels', 'Sam Phillips']",['Steve Oedekerk'],"['Bob Israel', 'Andrew G. La Marca', 'James G. Robinson']"
20,Money Train (1995),Money Train,1995,11517,Money Train,"When a vengeful New York transit cop decides to steal a trainload of subway fares, his foster brother—a fellow cop—tries to protect him.","['Action', 'Comedy', 'Crime']",110,5.849,800,1.5154,1995-11-21,68000000,77224232,"['Wesley Snipes', 'Woody Harrelson', 'Jennifer Lopez', 'Robert Blake', 'Chris Cooper', 'Joe Grifasi', 'Scott Sowers', 'Skipp Sudduth', 'Aida Turturro', 'Vincent Pastore']",['Joseph Ruben'],"['Neil Canton', 'Jon Peters', 'Christine Forsyth-Peters']"
21,Get Shorty (1995),Get Shorty,1995,8012,Get Shorty,"Chili Palmer is a Miami mobster who gets sent to L.A. to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.","['Comedy', 'Thriller', 'Crime']",105,6.508,1113,2.3089,1995-10-20,30250000,115101622,"['John Travolta', 'Gene Hackman', 'Rene Russo', 'Danny DeVito', 'Dennis Farina', 'Delroy Lindo', 'James Gandolfini', 'Jon Gries', 'Renee Props', 'David Paymer']",['Barry Sonnenfeld'],"['Stacey Sher', 'Michael Shamberg', 'Danny DeVito']"
22,Copycat (1995),Copycat,1995,1710,Copycat,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,"['Thriller', 'Crime', 'Mystery', 'Horror', 'Drama']",124,6.473,1110,4.2539,1995-10-27,20000000,32000000,"['Sigourney Weaver', 'Holly Hunter', 'Dermot Mulroney', 'William McNamara', 'Harry Connick Jr.', 'J.E. Freeman', 'Will Patton', 'John Rothman', ""Shannon O'Hurley"", 'Bob Greene']",['Jon Amiel'],"['Arnon Milchan', 'Mark Tarlov', 'Michael G. Nathanson']"
23,Assassins (1995),Assassins,1995,9691,Assassins,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.","['Action', 'Adventure', 'Crime', 'Thriller']",132,6.492,1610,1.5981,1995-10-06,50000000,30303072,"['Sylvester Stallone', 'Antonio Banderas', 'Julianne Moore', 'Anatoli Davydov', 'Muse Watson', 'Steve Kahan', 'Kelly Rowan', 'Reed Diamond', 'Kai Wulff', 'Kerry Skalsky']",['Richard Donner'],"['Raynold Gideon', 'Joel Silver', 'Jim Van Wyck', 'Richard Donner', 'Andrew Lazar']"
24,Powder (1995),Powder,1995,12665,Powder,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.","['Drama', 'Fantasy']",111,7.0,683,2.6204,1995-10-27,9500000,30900000,"['Mary Steenburgen', 'Sean Patrick Flanery', 'Lance Henriksen', 'Jeff Goldblum', 'Brandon Smith', 'Bradford Tatum', 'Susan Tyrrell', 'Missy Crider', 'Ray Wise', 'Esteban Powell']",['Victor Salva'],"['Daniel Grodnik', 'Roger Birnbaum']"
25,Leaving Las Vegas (1995),Leaving Las Vegas,1995,451,Leaving Las Vegas,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.","['Drama', 'Romance']",111,7.251,1519,2.6141,1995-10-27,3600000,49800000,"['Nicolas Cage', 'Elisabeth Shue', 'Julian Sands', 'Richard Lewis', 'Steven Weber', 'Kim Adams', 'Emily Procter', 'Stuart Regen', 'Valeria Golino', 'Graham Beckel']",['Mike Figgis'],"['Lila Cazès', 'Annie Stewart']"
26,Othello (1995),Othello,1995,16420,Othello,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,['Drama'],123,6.372,144,1.0133,1995-12-15,11000000,2800000,"['Laurence Fishburne', 'Irène Jacob', 'Kenneth Branagh', 'Nathaniel Parker', 'Michael Maloney', 'Anna Patrick', 'Nicholas Farrell', 'Indra Ové', 'Michael Sheen', 'John Savident']",['Oliver Parker'],[]
27,Now and Then (1995),Now and Then,1995,9263,Now and Then,"Waxing nostalgic about the bittersweet passage from childhood to puberty, four childhood girlfriends — Teeny, Chrissy, Samantha and Roberta — recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.","['Comedy', 'Drama', 'Romance']",100,6.908,452,1.5285,1995-10-20,12000000,27400000,"['Christina Ricci', ""Rosie O'Donnell"", 'Thora Birch', 'Melanie Griffith', 'Gaby Hoffmann', 'Demi Moore', 'Ashleigh Aston Moore', 'Rita Wilson', 'Devon Sawa', 'Walter Sparrow']",['Lesli Linka Glatter'],"['Demi Moore', 'Suzanne Todd']"
28,Persuasion (1995),Persuasion,1995,17015,Persuasion,"Anne Elliot, the daughter of a financially troubled aristocratic family, is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful, and perhaps still in love with Anne.","['Drama', 'Romance']",107,7.11,132,1.8061,1995-05-01,0,0,"['Amanda Root', 'Ciarán Hinds', 'Susan Fleetwood', 'Fiona Shaw', 'John Woodvine', 'Phoebe Nicholls', 'Samuel West', 'Sophie Thompson', 'Judy Cornwell', 'Simon Russell Beale']",['Roger Michell'],['Fiona Finlay']
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)","City of Lost Children, The (Cité des enfants perdus, La)",1995,902,The City of Lost Children,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.","['Fantasy', 'Science Fiction', 'Adventure']",113,7.2,1142,1.7787,1995-05-17,18000000,1738611,"['Ron Perlman', 'Dominique Pinon', 'Judith Vittet', 'Daniel Emilfork', 'Jean-Claude Dreyfus', 'Geneviève Brunet', 'Odile Mallet', 'Mireille Mossé', 'Serge Merlin', 'Rufus']","['Marc Caro', 'Jean-Pierre Jeunet']","['María Victoria Hebrero', 'Félicie Dutertre', 'Arlette Mas', 'José Luis Lopez', 'Claudie Ossard']"
31,Dangerous Minds (1995),Dangerous Minds,1995,9909,Dangerous Minds,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",['Drama'],99,6.979,1191,3.2083,1995-08-11,23000000,179519401,"['Michelle Pfeiffer', 'George Dzundza', 'Courtney B. Vance', 'Robin Bartlett', 'Beatrice Winde', 'John Neville', 'Lorraine Toussaint', 'Renoly Santiago', 'Wade Dominguez', 'Bruklin Harris']",['John N. Smith'],"['Don Simpson', 'Jerry Bruckheimer', 'Michelle Pfeiffer']"
34,Babe (1995),Babe,1995,9598,Babe,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hoggett knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be.","['Fantasy', 'Drama', 'Comedy', 'Family']",92,6.249,2981,3.6083,1995-07-18,30000000,254100000,"['Christine Cavanaugh', 'Miriam Margolyes', 'Danny Mann', 'Hugo Weaving', 'Miriam Flynn', 'James Cromwell', 'Magda Szubanski', 'Russi Taylor', 'Roscoe Lee Browne', 'Evelyn Krape']",['Chris Noonan'],"['George Miller', 'Bill Miller', 'Doug Mitchell']"
36,Dead Man Walking (1995),Dead Man Walking,1995,687,Dead Man Walking,A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.,['Drama'],122,7.3,1406,2.0296,1995-12-29,11000000,39363635,"['Susan Sarandon', 'Sean Penn', 'Robert Prosky', 'Raymond J. Barry', 'R. Lee Ermey', 'Celia Weston', 'Lois Smith', 'Scott Wilson', 'Roberta Maxwell', 'Margo Martindale']",['Tim Robbins'],"['Jon Kilik', 'Tim Robbins', 'Rudd Simmons']"
38,It Takes Two (1995),It Takes Two,1995,33689,It Takes Two,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.","['Comedy', 'Family', 'Romance']",101,6.514,918,4.8606,1995-11-17,19474589,19474589,"['Kirstie Alley', 'Steve Guttenberg', 'Ashley Olsen', 'Mary-Kate Olsen', 'Jane Sibbett', 'Philip Bosco', 'Michelle Grisom', 'Desmond Robertson', 'Tiny Mills', 'Shanelle Henry']",['Andy Tennant'],"['Jim Cruickshank', 'James Orr']"
39,Clueless (1995),Clueless,1995,9603,Clueless,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.","['Comedy', 'Romance']",97,7.274,4573,8.3899,1995-07-19,12000000,56631572,"['Alicia Silverstone', 'Stacey Dash', 'Brittany Murphy', 'Paul Rudd', 'Donald Faison', 'Elisa Donovan', 'Breckin Meyer', 'Jeremy Sisto', 'Dan Hedaya', 'Aida Linares']",['Amy Heckerling'],"['Scott Rudin', 'Robert Lawrence']"
40,"Cry, the Beloved Country (1995)","Cry, the Beloved Country",1995,34615,"Cry, the Beloved Country",A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,['Drama'],106,6.7,25,0.3634,1995-12-15,0,676525,"['Richard Harris', 'James Earl Jones', 'Charles S. Dutton', 'Vusi Kunene', 'Tsholofelo Wechoemang', 'Dolly Rathebe', 'Jack Robinson', 'Ramalao Makhene', 'Jennifer Steyn', 'Ian Roberts']",['Darrell James Roodt'],"['Anant Singh', 'Harry Alan Towers']"
41,Richard III (1995),Richard III,1995,31174,Richard III,"A murderous lust for the British throne sees Richard III descend into madness. Though the setting is transposed to the 1930s, England is torn by civil war, split between the rivaling houses of York and Lancaster. Richard aspires to a fascist dictatorship, but must first remove the obstacles to his ascension—among them his brother, his nephews and his brother's wife. When the Duke of Buckingham deserts him, Richard's plans are compromised.","['Drama', 'War']",104,6.742,184,0.7004,1995-12-29,0,2748518,"['Ian McKellen', 'Annette Bening', 'Jim Broadbent', 'Robert Downey Jr.', 'Kristin Scott Thomas', 'Adrian Dunbar', 'Maggie Smith', 'Tim McInnerny', 'Edward Hardwicke', 'Nigel Hawthorne']",['Richard Loncraine'],"['Stephen Bayly', 'Lisa Katselas']"
42,Dead Presidents (1995),Dead Presidents,1995,11443,Dead Presidents,On the streets they call cash dead presidents. And that's just what a Vietnam veteran is after when he returns home from the war only to find himself drawn into a life of crime. With the aid of his fellow vets he plans the ultimate heist -- a daring robbery of an armored car filled with unmarked U.S. currency!,"['Action', 'Crime', 'Drama', 'Thriller', 'War']",119,6.651,301,1.5359,1995-09-29,10000000,24100000,"['Larenz Tate', 'Keith David', 'Chris Tucker', 'Freddy Rodríguez', 'Rose Jackson', ""N'Bushe Wright"", 'Clifton Powell', 'Terrence Howard', 'Bokeem Woodbine', 'Clifton Collins Jr.']","['Albert Hughes', 'Allen Hughes']","['Allen Hughes', 'Albert Hughes']"
43,Restoration (1995),Restoration,1995,35196,Restoration,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.","['Drama', 'Romance']",117,6.021,121,0.8443,1995-12-29,19000000,4005941,"['Robert Downey Jr.', 'Meg Ryan', 'Sam Neill', 'David Thewlis', 'Hugh Grant', 'Polly Walker', 'Ian McKellen', 'Ian McDiarmid', 'Mary MacLeod', 'Willie Ross']",['Michael Hoffman'],"['Cary Brokaw', 'Andy Paterson', 'Sarah Black']"
44,Mortal Kombat (1995),Mortal Kombat,1995,9312,Mortal Kombat,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.","['Action', 'Fantasy']",101,5.9,2362,5.6045,1995-08-18,18000000,122195920,"['Robin Shou', 'Linden Ashby', 'Bridgette Wilson-Sampras', 'Christopher Lambert', 'Cary-Hiroyuki Tagawa', 'Talisa Soto', 'Trevor Goddard', 'Chris Casamassa', 'François Petit', 'Keith Cooke']",['Paul W. S. Anderson'],['Lawrence Kasanoff']
45,To Die For (1995),To Die For,1995,577,To Die For,"Suzanne Stone wants to be a world-famous news anchor and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary.","['Drama', 'Comedy', 'Crime']",106,6.585,820,1.4229,1995-09-22,20000000,21300000,"['Nicole Kidman', 'Matt Dillon', 'Joaquin Phoenix', 'Casey Affleck', 'Illeana Douglas', 'Alison Folland', 'Dan Hedaya', 'Wayne Knight', 'Kurtwood Smith', 'Holland Taylor']",['Gus Van Sant'],['Laura Ziskin']
46,How to Make an American Quilt (1995),How to Make an American Quilt,1995,11861,How to Make an American Quilt,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.","['Drama', 'Romance']",116,6.425,187,0.8254,1995-10-06,10000000,41200020,"['Winona Ryder', 'Anne Bancroft', 'Ellen Burstyn', 'Kate Nelligan', 'Jean Simmons', 'Maya Angelou', 'Alfre Woodard', 'Dermot Mulroney', 'Lois Smith', 'Kate Capshaw']",['Jocelyn Moorhouse'],"['Sarah Pillsbury', 'Midge Sanford']"
